"RelativePath","SizeBytes","LastWriteTime","SHA256"
"amd_ags_x64.dll","164864","2026-04-30T19:53:08.2586451+08:00","a1c8af8d9516f57418173d651b869dca6599d6808b5cf9093b9680d77c483bfa"
"MyGUIEngine.dll","1981952","2026-04-30T20:10:54.9419452+08:00","8bdd371ab91baa576fb695ca691ad14164e292f59631a2b3475da4146b7b8e6b"
"OgreAtmosphere.dll","68096","2026-04-30T20:00:43.3424964+08:00","4c7118f78a4c418281143a34d2d15cfc98e90e282c5750716003f03764e46d22"
"OgreHlmsPbs.dll","610304","2026-04-30T20:00:49.8940740+08:00","7420b79db26c0572894b6dbf09a281ef9fe33f1634845b6de88295224fd241eb"
"OgreHlmsUnlit.dll","154624","2026-04-30T20:00:51.5209624+08:00","3dcb7e3c322b7584c9e0a0eb9727dde804ef910f3eed75f6fb643485fb91dcfc"
"OgreMain.dll","11030528","2026-04-30T20:00:42.0850035+08:00","ccae70adcf3776819e346b3cd3b764fffad11d10e4678c6fce0dde68e9d60ba7"
"OgreOverlay.dll","757760","2026-04-30T20:00:58.8314286+08:00","cc196ca8d64b5d89ef5b880e7445a063d8716882822f3a23a0707154d6ef890b"
"OgrePlanarReflections.dll","64000","2026-04-30T20:00:45.1327176+08:00","83a7eba4401fd05a5f04d44bd9b77d9522ee2fddd8a549602cfb908ff194de25"
"OpenAL32.dll","1123840","2026-04-30T20:33:32.8115133+08:00","90f6dcdf7aa7438bd18536b9b7779684c7616d1a78fff9000314da233a143615"
"Plugin_ParticleFX.dll","163328","2026-04-30T20:01:04.7775702+08:00","1aeb3302e1c395ed585f9f063db7de9f6b3b8809f0f4a11c4c6a706579ec103c"
"plugins_Windows.cfg","229","2026-04-30T19:29:45.0173286+08:00","db96d7c38f42d48886882ed8576043c2c29ee4305ed01cdc6eff9c70d6d92c1e"
"plugins.cfg","229","2026-04-30T19:29:45.0173286+08:00","db96d7c38f42d48886882ed8576043c2c29ee4305ed01cdc6eff9c70d6d92c1e"
"RenderSystem_GL3Plus.dll","574464","2026-04-30T20:01:18.0425306+08:00","69b084a3ddd6777bde4fcc52990e3729d4da02c6690353a8594092843ac6c733"
"RenderSystem_Vulkan.dll","4078592","2026-04-30T20:01:27.6565677+08:00","f8a91029bacc08204d3a58550d21b216d5c6e5014aa7a8e05147850c7386865d"
"SDL2.dll","1670144","2026-04-30T19:57:14.6302807+08:00","943357d0a4fd5bea8679c66cc9202f5efda0e865cbf01904c056e872fd8f6964"
"SR-Editor3.exe","3037696","2026-04-30T20:55:08.7573166+08:00","4571c13cdfb11f12fb40dd171ea0d5e1555d52a07128e4abe1245f40378650d5"
"StuntRally3.exe","4248064","2026-04-30T20:54:53.5669903+08:00","9175f8a46f003977a5ceb8c7e2ee7ac952fb69f4e58a7b12285ba59f46bb1510"
