21:58:06  |  Core  |  Info  |  Load ini file 'core_images.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_commonskins.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_blackbluetheme.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_blackblueimages.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_blackblueskins.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_blackbluetemplates.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_pointers.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_layers.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_language.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'core_settings.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Load ini file 'MessageBoxIcons.xml'  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:58:06  |  Core  |  Info  |  Gui successfully initialized  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Gui.cpp  |  111
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.small' using texture size 512 x 256.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.small' using real height 21 pixels.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
