21:36:38  |  Core  |  Info  |  Load ini file 'core_blackbluetheme.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Load ini file 'core_blackblueimages.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Load ini file 'core_blackblueskins.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Load ini file 'core_blackbluetemplates.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Load ini file 'core_pointers.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Load ini file 'core_layers.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Load ini file 'core_language.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Load ini file 'core_settings.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Load ini file 'MessageBoxIcons.xml'  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
21:36:38  |  Core  |  Info  |  Gui successfully initialized  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_Gui.cpp  |  111
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.small' using texture size 256 x 256.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.small' using real height 14 pixels.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.normal' using texture size 256 x 256.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.normal' using real height 16 pixels.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.big' using texture size 256 x 512.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.big' using real height 19 pixels.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.text' using texture size 512 x 256.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.text' using real height 21 pixels.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:36:38  |  Core  |  Warning  |  : Property 'SpaceWidth' in font '' is deprecated; remove it to use automatic calculation.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  326
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.replay' using texture size 64 x 128.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.replay' using real height 15 pixels.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:36:38  |  Core  |  Warning  |  : Property 'SpaceWidth' in font '' is deprecated; remove it to use automatic calculation.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  326
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DigGear' using texture size 128 x 256.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DigGear' using real height 46 pixels.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:36:38  |  Core  |  Warning  |  : Property 'SpaceWidth' in font '' is deprecated; remove it to use automatic calculation.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  326
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.fps' using texture size 128 x 128.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:36:38  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.fps' using real height 14 pixels.  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:36:38  |  Core  |  Warning  |  Widget property 'FontName' not found [Game.layout]  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:36:38  |  Core  |  Warning  |  Widget property 'TextColour' not found [Game.layout]  |  C:\dev\mygui-next\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
